row_key,block_raw,block_matched,row_number,side,structure,variety_raw,variety_matched,variety_id,variety_score,rootstock_raw,rootstock_matched,rootstock_id,rootstock_score,planting_year,tree_count,length_m,area_m2,flags
Bravo 13|13|,Bravo 13,NO MATCH,13,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,106,NO MATCH,NO MATCH,0.0,2013,151,151.0,604.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|14|,Bravo 13,NO MATCH,14,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,106,NO MATCH,NO MATCH,0.0,2013,154,154.0,616.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|15|,Bravo 13,NO MATCH,15,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,106,NO MATCH,NO MATCH,0.0,2013,154,154.0,616.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|16|,Bravo 13,NO MATCH,16,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,106,NO MATCH,NO MATCH,0.0,2013,22,22.0,88.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|16|,Bravo 13,NO MATCH,16,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2013,146,146.0,584.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|17|,Bravo 13,NO MATCH,17,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2013,178,178.0,712.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|18|,Bravo 13,NO MATCH,18,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2013,180,180.0,720.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 13|19|,Bravo 13,NO MATCH,19,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2013,77,77.0,308.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|1|,Bravo 14,NO MATCH,1,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,19,19.0,66.5,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
Bravo 14|2|,Bravo 14,NO MATCH,2,,PORTION,Bravo,NO MATCH,NO MATCH,0.0,M26,NO MATCH,NO MATCH,0.0,2014,32,32.0,112.0,LOW_BLOCK_MATCH(0.0)|LOW_VARIETY_MATCH(0.0)|LOW_RS_MATCH(0.0)
